university_branch,Twitter_url
獨協大学支部,https://twitter.com/DokkyoBokunatsu
上智大学支部,https://twitter.com/bokunatsusophia
武蔵野大学支部,https://twitter.com/musa_bokunatsu
明星大学支部,https://twitter.com/hoshi_bokunatsu
文教大学支部,https://twitter.com/bokunatsubunkyo
東洋大学支部,https://twitter.com/bokunatsu_TOYO
東京都市大学支部,https://twitter.com/Bokubokunatsu
筑波大学支部,https://twitter.com/bokunatsukuba
専修大学支部,https://twitter.com/BokunatsuSU
青山学院大学支部,https://twitter.com/BokunatsuAoyama
埼玉県立大学支部,https://twitter.com/bokunatsu_spu
国士舘大学支部,https://twitter.com/bokunatsu_k
玉川大学支部,https://twitter.com/Tamabokunatsu
一橋大学支部,https://twitter.com/bokunatsu_hit
明治学院大学支部,https://twitter.com/MeiBokunatsu
